Date,BSOL,VSOL,FSOL,TSOL,SOEZ,MSOL,GSOL,Total
Seed,222.9,7.3,3.0,111.0,2.4,,,449.3
31 Aug 2026,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9
01 Sep 2026,6.2,0.0,2.7,0.0,0.0,1.4,0.0,10.3
02 Sep 2026,-6.1,0.0,0.0,0.0,0.0,0.0,0.0,-6.1
03 Sep 2026,2.0,0.0,0.0,0.0,0.0,0.0,4.4,6.4
04 Sep 2026,-2.8,0.0,-2.4,0.0,0.0,0.0,0.0,-5.2
08 Sep 2026,0.0,0.0,0.0,0.5,0.0,0.0,-1.2,-0.7
09 Sep 2026,11.2,0.0,0.0,0.0,0.0,0.6,0.0,11.8
10 Sep 2026,-1.4,0.0,0.9,0.0,0.0,0.0,0.0,-0.5
11 Sep 2026,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.3
14 Sep 2026,7.1,0.0,0.0,0.0,0.0,0.0,3.9,11.0
15 Sep 2026,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3
16 Sep 2026,2.7,0.0,0.0,0.0,0.0,0.0,-1.9,0.8
17 Sep 2026,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
